title,store,price,img
Red Grecian Pleated Cutout Mini Dress,Express,88,"http://images.express.com/is/image/expressfashion/LBY_EXPRESS_09H_Shot_08_0044_ext?cache=on&amp;wid=361&amp;fmt=jpeg&amp;qlt=75,1&amp;resmode=sharp2&amp;op_usm=1,1,5,0"
Black Lace V-Neck Dress,Express,59.9,"http://images.express.com/is/image/expressfashion/new_74_794_3971_058_53?cache=on&amp;wid=361&amp;fmt=jpeg&amp;qlt=75,1&amp;resmode=sharp2&amp;op_usm=1,1,5,0"
